"Code","Name","Sector","Source"
"BRNA","PT Berlina Tbk","Consumer Discretionary","stockanalysis:company"
"BRPT","PT Barito Pacific Tbk","Materials","stockanalysis:company"
"BRRC","PT Raja Roti Cemerlang Tbk","Consumer Staples","stockanalysis:company"
"BSBK","PT Wulandari Bangun Laksana Tbk","Real Estate","stockanalysis:company"
"BSDE","PT Bumi Serpong Damai Tbk","Real Estate","stockanalysis:company"
"BSIM","PT Bank Sinarmas Tbk","Financials","stockanalysis:company"
"BSML","PT Bintang Samudera Mandiri Lines Tbk","Industrials","stockanalysis:company"
"BSSR","PT Baramulti Suksessarana Tbk","Energy","stockanalysis:company"
"BSWD","PT Bank of India Indonesia Tbk","Financials","stockanalysis:company"
"BTEK","PT Bumi Teknokultura Unggul Tbk","Consumer Staples","stockanalysis:company"
"BTON","PT Betonjaya Manunggal Tbk","Materials","stockanalysis:company"
"BTPN","PT Bank SMBC Indonesia Tbk","Financials","stockanalysis:company"
"BTPS","PT Bank BTPN Syariah Tbk","Financials","stockanalysis:company"
"BUAH","PT Segar Kumala Indonesia Tbk","Consumer Staples","stockanalysis:company"
"BUDI","PT Budi Starch & Sweetener Tbk","Consumer Staples","stockanalysis:company"
"BUKA","PT Bukalapak.com Tbk.","Consumer Discretionary","stockanalysis:company"
"BUKK","PT Bukaka Teknik Utama Tbk.","Industrials","stockanalysis:company"
"BULL","PT Buana Lintas Lautan Tbk","Industrials","stockanalysis:company"
"BUMI","PT Bumi Resources Tbk","Energy","stockanalysis:company"
"BUVA","PT Bukit Uluwatu Villa Tbk","Consumer Discretionary","stockanalysis:company"
"BVIC","PT Bank Victoria International Tbk","Financials","stockanalysis:company"
"BWPT","PT Eagle High Plantations Tbk","Consumer Staples","stockanalysis:company"
"BYAN","PT Bayan Resources Tbk.","Energy","stockanalysis:company"
"CAKK","PT Cahayaputra Asa Keramik Tbk","Industrials","stockanalysis:company"
"CAMP","PT Campina Ice Cream Industry, Tbk.","Consumer Staples","stockanalysis:company"
"CANI","PT Capitol Nusantara Indonesia Tbk","Industrials","stockanalysis:company"
"CARE","PT Metro Healthcare Indonesia Tbk","Healthcare","stockanalysis:company"
"CARS","PT Industri dan Perdagangan Bintraco Dharma Tbk","Consumer Discretionary","stockanalysis:company"
"CASA","PT Capital Financial Indonesia Tbk","Financials","stockanalysis:company"
"CASH","PT Cashlez Worldwide Indonesia Tbk","Industrials","stockanalysis:company"
"CASS","PT Cahaya Aero Services Tbk","Industrials","stockanalysis:company"
"CBDK","PT Bangun Kosambi Sukses Tbk","Real Estate","stockanalysis:company"
"CBPE","PT Citra Buana Prasida Tbk","Real Estate","stockanalysis:company"
"CBRE","PT Cakra Buana Resources Energi Tbk","Industrials","stockanalysis:company"
"CBUT","PT Citra Borneo Utama Tbk","Consumer Staples","stockanalysis:company"
"CCSI","PT Communication Cable Systems Indonesia Tbk","Technology","stockanalysis:company"
"CDIA","PT Chandra Daya Investasi TBK.","Utilities","stockanalysis:company"
"CEKA","PT Wilmar Cahaya Indonesia Tbk.","Consumer Staples","stockanalysis:company"
"CENT","PT Centratama Telekomunikasi Indonesia Tbk","Communication Services","stockanalysis:company"
"CFIN","PT. Clipan Finance Indonesia Tbk","Financials","stockanalysis:company"
"CGAS","PT Citra Nusantara Gemilang Tbk","Energy","stockanalysis:company"
"CHEK","PT Diastika Biotekindo Tbk","Healthcare","stockanalysis:company"
"CHEM","PT Chemstar Indonesia Tbk","Materials","stockanalysis:company"
"CHIP","PT Pelita Teknologi Global Tbk","Communication Services","stockanalysis:company"
"CINT","PT Chitose Internasional Tbk","Consumer Discretionary","stockanalysis:company"
"CITA","PT Cita Mineral Investindo Tbk","Materials","stockanalysis:company"
"CITY","PT Natura City Developments Tbk","Real Estate","stockanalysis:company"
"CLAY","PT Citra Putra Realty Tbk","Consumer Discretionary","stockanalysis:company"
"CLEO","PT Sariguna Primatirta Tbk","Consumer Staples","stockanalysis:company"
"CLPI","PT Colorpak Indonesia Tbk","Materials","stockanalysis:company"
"CMNP","PT Citra Marga Nusaphala Persada Tbk","Industrials","stockanalysis:company"
"CMNT","PT Cemindo Gemilang Tbk","Materials","stockanalysis:company"
"CMPP","PT AirAsia Indonesia Tbk","Industrials","stockanalysis:company"
"CMRY","PT Cisarua Mountain Dairy Tbk","Consumer Staples","stockanalysis:company"
"CNKO","PT Exploitasi Energi Indonesia Tbk","Energy","stockanalysis:company"
"CNMA","PT Nusantara Sejahtera Raya Tbk","Communication Services","stockanalysis:company"
"COAL","PT Black Diamond Resources Tbk","Energy","stockanalysis:company"
"COCO","PT Wahana Interfood Nusantara Tbk","Consumer Staples","stockanalysis:company"
"COIN","PT Indokripto Koin Semesta Tbk","Financials","stockanalysis:company"
"CPIN","PT Charoen Pokphand Indonesia Tbk","Consumer Staples","stockanalysis:company"
"CPRO","PT Central Proteina Prima Tbk","Consumer Staples","stockanalysis:company"
"CRAB","PT Toba Surimi Industries Tbk","Consumer Staples","stockanalysis:company"
"CRSN","PT Carsurin Tbk","Industrials","stockanalysis:company"
"CSAP","PT Catur Sentosa Adiprana Tbk","Industrials","stockanalysis:company"
"CSIS","PT Cahayasakti Investindo Sukses Tbk","Real Estate","stockanalysis:company"
"CSMI","PT Cipta Selera Murni Tbk","Consumer Discretionary","stockanalysis:company"
"CSRA","PT Cisadane Sawit Raya Tbk","Consumer Staples","stockanalysis:company"
"CTBN","PT Citra Tubindo Tbk","Energy","stockanalysis:company"
"CTRA","PT Ciputra Development Tbk","Real Estate","stockanalysis:company"
"CTTH","PT Citatah Tbk","Materials","stockanalysis:company"
"CUAN","PT Petrindo Jaya Kreasi Tbk","Energy","stockanalysis:company"
"CYBR","PT ITSEC Asia Tbk","Technology","stockanalysis:company"
"DAAZ","PT Daaz Bara Lestari Tbk","Materials","stockanalysis:company"
"DADA","PT Diamond Citra Propertindo Tbk","Real Estate","stockanalysis:company"
"DART","PT Duta Anggada Realty Tbk.","Real Estate","stockanalysis:company"
"DATA","PT Remala Abadi Tbk","Communication Services","stockanalysis:company"
"DAYA","PT Duta Intidaya Tbk","Consumer Discretionary","stockanalysis:company"
"DCII","PT DCI Indonesia Tbk","Real Estate","stockanalysis:company"
"DEFI","PT Danasupra Erapacific Tbk","Financials","stockanalysis:company"
"DEPO","PT Caturkarda Depo Bangunan Tbk","Consumer Discretionary","stockanalysis:company"
"DEWA","PT Darma Henwa Tbk","Energy","stockanalysis:company"
"DEWI","PT Dewi Shri Farmindo Tbk.","Consumer Staples","stockanalysis:company"
"DFAM","PT Dafam Property Indonesia Tbk","Real Estate","stockanalysis:company"
"DGIK","PT Nusa Konstruksi Enjiniring Tbk","Industrials","stockanalysis:company"
"DGNS","PT Diagnos Laboratorium Utama Tbk","Healthcare","stockanalysis:company"
"DGWG","PT Delta Giri Wacana Tbk","Materials","stockanalysis:company"
"DIGI","PT Arkadia Digital Media Tbk","Communication Services","stockanalysis:company"
"DILD","PT Intiland Development Tbk","Real Estate","stockanalysis:company"
"DIVA","PT Distribusi Voucher Nusantara Tbk","Technology","stockanalysis:company"
"DKFT","PT Central Omega Resources Tbk","Materials","stockanalysis:company"
"DKHH","PT Cipta Sarana Medika Tbk","Healthcare","stockanalysis:company"
"DLTA","PT Delta Djakarta Tbk","Consumer Staples","stockanalysis:company"
"DMAS","PT Puradelta Lestari Tbk","Real Estate","stockanalysis:company"
"DMMX","PT Digital Mediatama Maxima Tbk","Communication Services","stockanalysis:company"
"DMND","PT Diamond Food Indonesia Tbk","Consumer Staples","stockanalysis:company"
"DNAR","PT Bank Oke Indonesia Tbk","Financials","stockanalysis:company"
"DNET","PT Indoritel Makmur Internasional Tbk.","Communication Services","stockanalysis:company"
"DOID","PT Buma Internasional Grup Tbk","Energy","stockanalysis:company"
"DOOH","PT Era Media Sejahtera Tbk","Communication Services","stockanalysis:company"
"DOSS","PT Global Sukses Digital Tbk","Consumer Discretionary","stockanalysis:company"
"DPNS","PT Duta Pertiwi Nusantara Tbk","Materials","stockanalysis:company"
"DPUM","PT Dua Putra Utama Makmur Tbk","Consumer Staples","stockanalysis:company"
"DRMA","PT Dharma Polimetal Tbk","Consumer Discretionary","stockanalysis:company"
"DSFI","PT Dharma Samudera Fishing Industries Tbk","Consumer Staples","stockanalysis:company"
"DSNG","PT Dharma Satya Nusantara Tbk","Consumer Staples","stockanalysis:company"
"DSSA","PT Dian Swastatika Sentosa Tbk","Energy","stockanalysis:company"
"DUTI","PT Duta Pertiwi Tbk","Real Estate","stockanalysis:company"
"DVLA","PT Darya-Varia Laboratoria Tbk","Healthcare","stockanalysis:company"
"DWGL","PT Dwi Guna Laksana Tbk","Energy","stockanalysis:company"
"DYAN","PT Dyandra Media International Tbk","Communication Services","stockanalysis:company"
"EAST","PT Eastparc Hotel Tbk","Consumer Discretionary","stockanalysis:company"
"ECII","PT Electronic City Indonesia Tbk","Consumer Discretionary","stockanalysis:company"
"EDGE","PT Indointernet Tbk.","Technology","stockanalysis:company"
"EKAD","PT Ekadharma International Tbk","Materials","stockanalysis:company"
"ELIT","PT Data Sinergitama Jaya Tbk","Technology","stockanalysis:company"
"ELPI","PT Pelayaran Nasional Ekalya Purnamasari Tbk","Industrials","stockanalysis:company"
"ELSA","PT Elnusa Tbk","Energy","stockanalysis:company"
"ELTY","PT Bakrieland Development Tbk","Real Estate","stockanalysis:company"
"EMAS","PT Merdeka Gold Resources Tbk","Materials","stockanalysis:company"
"EMDE","PT Megapolitan Developments Tbk","Real Estate","stockanalysis:company"
"EMTK","PT Elang Mahkota Teknologi Tbk","Communication Services","stockanalysis:company"
"ENAK","PT Champ Resto Indonesia Tbk","Consumer Discretionary","stockanalysis:company"
"ENRG","PT Energi Mega Persada Tbk","Energy","stockanalysis:company"
"ENZO","PT Morenzo Abadi Perkasa Tbk","Consumer Staples","stockanalysis:company"
